X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,y
6,8,3,-3,5,7,8,-7,-2,1,-4,3,6,-3,-4,0,1
6,9,3,-6,5,7,7,-7,-3,3,-5,2,6,-1,-7,0,1
6,10,3,-9,4,8,5,-6,-4,4,-6,1,4,-2,-7,1,1
6,10,3,-10,3,9,2,-4,-4,4,-6,1,3,-3,-6,1,1
5,10,3,-11,2,9,-2,-2,-3,4,-6,0,3,-4,-6,1,1
4,8,3,-10,2,9,-5,-1,-3,3,-4,0,4,-3,-7,1,1
5,6,2,-9,4,7,-7,-1,-3,3,-2,-1,5,0,-9,1,1
8,3,0,-7,6,5,-8,0,-3,5,-1,-3,5,2,-10,1,1
11,-1,-2,-5,7,3,-8,1,-5,9,-1,-6,3,3,-10,1,1
12,-5,-4,-4,7,-1,-8,2,-6,13,-2,-9,0,4,-9,1,1
11,-9,-5,-2,5,-5,-8,3,-7,16,-5,-10,-4,5,-9,1,1
-4,0,7,2,-2,-4,10,0,-6,5,-1,-1,-3,3,-8,5,1
-3,2,7,-2,-1,-5,9,-1,-6,3,-1,-2,-7,7,-10,4,1
0,2,5,-6,0,-5,7,-1,-5,1,0,-2,-9,9,-10,3,1
10,-13,-6,7,5,-7,-3,3,6,-8,-14,5,-8,0,-5,1,1
11,-12,-5,6,7,-7,-1,2,6,-6,-14,5,-8,0,-3,1,1
12,-11,-3,5,8,-7,0,2,5,-2,-13,4,-8,0,0,1,1
13,-9,-1,3,8,-5,2,1,4,2,-12,3,-7,-1,5,1,1
13,-8,1,2,8,-4,3,1,3,5,-9,3,-6,-2,9,1,1
4,-3,-4,10,4,2,-1,2,4,-4,-5,8,-1,-3,8,-2,1
-1,-5,-10,3,5,-17,-5,3,-4,-11,-19,11,-3,-14,-13,6,1
0,-6,-11,2,4,-14,-8,3,-4,-11,-19,11,-4,-15,-11,6,1
1,-7,-11,2,3,-12,-8,2,-4,-12,-18,11,-6,-18,-6,6,1
-2,6,13,3,2,11,9,-1,1,-1,14,9,4,3,14,4,1
-4,11,14,2,1,13,11,-2,1,2,14,7,3,6,13,2,1
-5,14,15,3,1,14,14,-2,1,5,14,5,2,10,11,1,1
-6,14,16,5,0,14,16,-1,2,6,13,3,1,15,8,-1,1
-5,13,16,7,-1,13,17,1,3,6,11,2,0,17,7,-2,1
-2,11,12,11,3,10,19,1,9,6,7,3,1,10,13,1,1
-3,13,12,11,3,9,20,1,9,8,7,3,2,10,13,0,1
-5,15,11,10,3,8,19,1,9,10,7,1,3,12,13,-1,1
-5,14,10,9,2,8,17,2,7,13,8,-1,4,16,11,-3,1
-6,13,9,8,-1,9,13,3,6,14,8,-3,4,19,8,-4,1
-4,12,7,5,-5,11,9,4,6,14,11,-6,3,18,7,-4,1
-2,11,7,3,-5,10,9,4,6,11,13,-8,3,16,8,-4,1
-1,11,7,1,-4,9,10,3,7,8,14,-9,2,14,8,-4,1
0,11,8,-1,-2,8,10,2,9,6,14,-10,2,13,8,-4,1
2,11,8,-1,2,7,10,2,11,4,14,-11,2,12,8,-5,1
4,10,8,1,5,6,9,2,14,4,13,-11,5,13,7,-5,1
7,9,8,3,9,6,9,3,18,4,12,-10,10,14,4,-5,1
9,9,8,4,13,7,8,3,22,4,11,-8,18,13,2,-4,1
11,10,8,6,17,8,8,3,26,5,9,-5,26,9,3,-4,1
14,13,9,7,23,10,8,2,29,8,8,-2,34,6,6,-3,1
18,16,9,7,28,13,8,1,33,11,8,1,40,6,8,-2,1
24,19,9,7,36,17,8,-1,37,15,8,3,44,10,10,-1,1
32,22,9,8,43,22,8,-3,41,19,9,5,48,16,10,-1,1
39,24,8,9,51,25,9,-5,45,23,10,6,52,24,9,0,1
45,25,8,9,57,26,11,-6,49,27,12,7,56,30,9,0,1
48,26,8,9,61,26,12,-7,52,30,13,7,60,34,9,0,1
50,24,9,9,63,22,13,-7,55,33,14,7,62,38,10,-1,1
50,23,9,8,64,17,14,-6,59,36,13,6,64,41,11,-1,1
49,20,8,8,64,12,14,-5,63,38,12,5,64,44,11,-2,1
49,15,9,8,62,7,14,-3,67,39,10,2,64,47,9,-3,1
48,10,9,7,58,4,14,-2,70,39,8,0,63,51,6,-4,1
45,5,10,7,53,2,14,-2,72,37,6,-3,60,53,3,-4,1
42,2,10,6,49,1,13,-2,73,35,5,-5,56,53,4,-5,1
38,0,10,6,44,0,12,-2,72,32,5,-6,51,52,6,-5,1
33,1,9,5,41,-1,11,-3,71,30,5,-6,46,52,8,-5,1
26,3,8,4,37,-3,10,-3,68,29,7,-6,41,52,10,-4,1
-9,-3,4,5,10,-10,8,-11,25,23,13,9,-1,54,22,-5,1
-11,-2,4,4,8,-9,8,-12,21,23,13,9,-4,52,23,-5,1
-14,-1,5,3,6,-8,9,-13,18,24,13,8,-6,51,24,-6,1
-19,1,7,2,3,-8,9,-13,16,25,12,6,-7,50,22,-6,1
-22,2,8,0,1,-9,9,-13,14,26,11,4,-7,50,18,-6,1
-24,1,9,-2,-3,-9,9,-13,13,27,9,2,-7,50,14,-6,1
-25,-1,10,-3,-7,-10,9,-12,11,27,6,1,-8,48,10,-4,1
-25,-5,10,-3,-10,-10,9,-11,9,27,3,0,-10,45,6,-2,1
-6,-2,0,4,-9,3,1,2,1,-9,-12,9,-4,-8,2,-2,1
-3,-3,0,4,-7,2,1,2,2,-9,-15,9,-4,-11,4,-1,1
-1,-3,0,3,-5,2,0,2,4,-9,-16,8,-4,-14,4,0,1
-1,-2,1,1,-3,1,-1,2,5,-9,-16,7,-3,-16,4,2,1
38,0,3,-1,35,3,2,0,31,8,-2,5,36,1,4,1,1
47,7,3,-1,44,10,2,1,37,13,-3,7,45,1,6,2,1
57,14,3,1,53,17,2,2,43,17,-4,8,55,2,5,3,1
66,20,3,2,63,22,2,3,50,21,-5,9,65,2,4,4,1
74,24,3,2,72,26,3,3,56,23,-6,10,74,1,4,5,1
81,27,5,2,80,28,3,4,62,25,-7,10,82,-2,3,6,1
89,30,6,1,87,30,4,5,68,26,-7,10,90,-4,4,7,1
98,32,7,-1,94,32,5,5,73,27,-7,10,97,-6,5,8,1
105,34,8,-2,101,33,6,5,79,28,-6,9,105,-6,5,7,1
6,5,-4,3,5,9,-10,6,-9,-1,8,10,10,0,0,-2,1
8,2,-5,5,7,6,-10,7,-8,0,9,12,11,3,2,-4,1
10,-1,-4,8,10,3,-9,7,-7,0,9,14,13,5,4,-5,1
13,-3,-4,10,15,1,-6,7,-4,1,10,16,16,5,6,-6,1
16,-3,-4,12,19,-1,-2,6,1,1,10,17,22,2,9,-5,1
21,-2,-4,13,23,-1,1,5,7,3,9,18,28,-2,12,-3,1
26,0,-4,13,27,1,4,4,13,6,8,17,35,-4,14,0,1
38,7,-2,11,37,8,9,1,30,17,5,10,48,-2,12,3,1
44,11,0,9,42,12,10,1,38,23,4,5,53,2,11,4,1
50,14,2,7,47,13,11,1,45,29,4,0,58,7,9,4,1
55,17,2,6,53,13,11,2,50,33,4,-3,63,10,8,4,1
58,17,3,4,58,12,9,3,53,35,5,-3,67,11,7,4,1
61,16,2,3,63,10,6,4,54,34,6,-1,71,12,6,5,1
64,14,1,1,67,8,1,3,54,33,6,2,73,12,5,5,1
66,12,-1,-1,70,6,-3,2,54,32,6,5,75,12,5,5,1
68,11,-3,-3,74,5,-6,1,56,30,5,8,76,12,6,6,1
71,9,-5,-3,77,5,-8,-1,60,28,3,11,77,11,7,6,1
75,8,-6,-3,79,7,-8,-2,64,26,1,13,79,10,9,6,1
78,8,-6,-1,81,9,-7,-4,67,24,-1,16,81,9,10,7,1
80,7,-5,2,82,11,-5,-4,69,23,-2,19,83,8,10,8,1
81,6,-4,6,83,12,-3,-4,70,21,-2,22,85,8,9,9,1
80,6,-2,10,85,11,0,-3,69,19,-1,25,86,9,8,10,1
77,6,-1,13,86,10,3,-3,67,17,1,28,86,11,6,10,1
75,6,0,15,84,9,6,-3,64,15,3,31,84,13,5,10,1
72,6,0,17,80,9,7,-2,60,13,5,32,80,16,4,10,1
69,6,0,17,74,9,8,0,56,12,7,31,75,18,5,9,1
64,6,-1,17,66,9,8,3,51,11,8,28,69,17,6,8,1
56,7,-2,17,58,6,7,6,46,11,9,25,63,13,6,7,1
45,7,-3,17,51,2,4,10,40,10,8,20,57,8,6,6,1
33,6,-3,17,43,-3,2,11,34,9,6,13,50,3,5,4,1
-2,5,0,2,-7,9,5,-3,4,10,-8,-7,-8,15,-9,0,1
-1,6,-1,-2,-6,11,2,-5,5,9,-10,-9,-9,19,-13,-2,1
0,7,-1,-6,-5,11,1,-6,5,8,-11,-9,-10,20,-14,-3,1
1,8,-1,-9,-5,10,0,-7,5,7,-10,-8,-9,17,-12,-3,1
2,8,-1,-12,-5,10,-1,-7,5,6,-9,-7,-7,11,-7,-3,1
4,9,-1,-14,-5,11,0,-7,5,4,-6,-6,-5,5,-1,-3,1
6,11,-1,-16,-5,11,1,-8,4,2,-3,-5,-5,0,5,-3,1
7,12,-2,-16,-4,12,2,-8,3,-1,0,-4,-6,-3,8,-2,1
8,13,-3,-15,-4,12,4,-9,2,-4,2,-3,-7,-1,7,-1,1
9,12,-4,-14,-4,11,6,-9,2,-6,3,-1,-8,2,4,-1,1
9,11,-5,-12,-4,9,7,-9,3,-7,2,0,-8,4,1,0,1
7,11,-6,-11,-5,6,7,-7,5,-7,0,0,-8,5,1,1,1
6,10,-7,-10,-5,4,6,-6,6,-5,-2,-1,-9,6,0,1,1
5,9,-8,-10,-7,2,5,-4,6,-3,-3,-2,-10,7,-1,2,1
6,2,-8,-6,0,-3,-1,-2,14,7,-1,-10,-9,34,-1,-12,1
6,1,-7,-7,2,-5,-2,-3,19,10,-3,-11,-6,30,4,-13,1
8,-2,-6,-8,5,-8,-2,-3,23,12,-4,-12,-4,28,7,-14,1
10,-5,-5,-10,8,-11,-3,-4,27,14,-6,-14,-2,30,8,-15,1
11,-8,-3,-10,10,-14,-4,-4,30,16,-7,-16,-1,34,7,-16,1
1,1,-3,-9,-4,1,-7,-1,-3,2,-4,2,-9,2,-4,7,1
3,2,-4,-11,-6,3,-6,-2,-2,2,-5,0,-10,3,-6,7,1
4,3,-5,-12,-7,4,-4,-3,-2,2,-6,-1,-12,5,-7,6,1
3,9,-8,-6,-6,6,0,-1,3,4,-11,0,-10,4,-3,4,1
3,9,-8,-5,-6,6,0,0,4,4,-13,1,-8,4,-6,5,1
3,9,-8,-5,-6,4,0,1,4,5,-15,0,-8,7,-10,5,1
3,7,-8,-4,-6,3,-1,2,3,7,-15,-1,-8,10,-14,5,1
3,3,-7,-3,-7,1,-1,3,1,9,-15,-2,-8,11,-14,4,1
1,0,-6,-1,-8,0,-2,4,-2,10,-13,-3,-10,12,-13,3,1
-12,4,-1,-7,-12,-6,-2,5,-9,-2,1,-17,-16,-6,-1,-4,1
-8,3,-1,-7,-10,-6,-2,4,-7,0,1,-19,-14,-5,-3,-5,1
-4,2,-1,-8,-8,-5,-1,3,-6,2,0,-19,-10,-3,-4,-6,1
-1,1,1,-8,-5,-4,-1,2,-5,4,1,-18,-7,2,-7,-6,1
2,0,3,-8,-3,-3,0,2,-5,6,1,-16,-5,7,-11,-5,1
2,-1,5,-8,-2,-2,1,2,-5,8,3,-13,-2,12,-13,-3,1
1,0,6,-8,-1,-3,1,2,-5,8,4,-9,-2,15,-14,-2,1
-2,0,8,-7,-2,-3,2,2,-5,6,5,-7,-3,13,-11,-1,1
0,16,-3,-11,-10,12,2,-3,1,3,1,-10,-10,1,2,2,1
-3,18,-3,-12,-10,12,2,-3,-2,-1,3,-8,-11,3,-3,2,1
1,11,-6,1,4,6,-4,2,-1,-1,3,-1,-4,-1,4,0,1
-1,13,-6,2,4,6,-5,3,-2,-2,3,1,-3,-3,5,0,1
3,10,6,1,6,9,-3,7,-2,15,5,-3,4,10,5,-4,1
3,9,7,3,7,9,-3,7,1,16,5,-5,4,14,2,-4,1
1,9,8,4,9,8,-2,7,2,16,5,-7,4,16,1,-4,1
-1,10,9,4,12,6,-1,5,3,15,5,-9,4,14,0,-4,1
-2,13,10,3,15,5,1,3,4,13,6,-10,5,14,-3,-3,1
-1,14,10,0,17,6,2,-1,4,11,6,-11,5,15,-7,-3,1
2,15,9,-3,18,8,1,-4,5,8,6,-11,4,16,-9,-3,1
5,15,8,-6,20,10,-1,-6,5,7,6,-10,4,16,-9,-3,1
9,14,6,-7,21,11,-4,-7,6,6,5,-9,4,13,-7,-3,1
13,12,3,-8,22,11,-6,-6,6,6,4,-7,6,10,-5,-3,1
16,11,1,-7,24,9,-7,-5,6,6,2,-6,7,6,-3,-3,1
17,10,-1,-6,24,7,-7,-5,6,6,0,-4,8,6,-3,-3,1
16,9,-3,-5,23,5,-6,-5,6,7,-2,-3,9,7,-6,-3,1
15,7,-5,-4,22,4,-6,-6,5,7,-3,-1,10,8,-8,-4,1
14,6,-6,-2,22,3,-5,-7,3,7,-3,0,12,8,-7,-5,1
14,4,-7,-1,21,2,-6,-7,1,7,-2,1,13,5,-5,-6,1
12,4,-9,1,20,2,-7,-7,-1,6,-1,3,14,1,-3,-6,1
11,3,-9,1,18,2,-8,-7,-3,5,-1,4,15,-3,-1,-5,1
11,3,-9,-1,17,2,-8,-7,-6,5,0,5,14,-6,-1,-3,1
9,4,-9,-1,16,1,-8,-7,-8,6,1,6,13,-7,0,-2,1
11,5,4,16,14,9,10,3,11,9,0,6,12,1,13,0,1
12,7,2,15,14,10,10,2,10,11,1,5,13,5,10,-1,1
12,6,0,15,14,9,9,1,8,12,1,5,13,8,6,-1,1
12,4,-2,14,14,6,8,1,6,14,1,4,13,9,4,-1,1
11,3,-3,14,14,3,8,1,5,15,2,4,13,10,3,0,1
9,3,-3,14,14,1,7,2,3,16,1,3,12,10,1,1,1
6,3,-3,14,11,1,6,3,2,17,0,3,13,9,-1,1,1
4,3,-3,13,8,3,5,3,1,17,-2,4,14,7,-4,2,1
3,2,-2,13,5,4,3,3,-1,16,-4,5,16,4,-6,2,1
1,0,-1,12,2,5,3,2,-1,14,-6,7,17,2,-7,3,1
-1,-2,-1,12,0,5,2,2,-1,12,-8,9,17,2,-9,3,1
-1,-3,0,12,1,3,3,3,0,11,-10,11,14,4,-9,3,1
-1,-3,0,13,2,1,3,3,0,9,-11,13,12,5,-8,2,1
1,-1,-1,12,5,1,3,3,0,9,-12,13,9,5,-6,2,1
3,1,-2,11,8,2,2,3,-1,9,-12,12,7,5,-5,2,1
6,4,-3,9,10,4,1,1,-2,11,-12,11,6,5,-4,1,1
7,6,-3,6,12,6,-1,0,-2,11,-13,9,7,3,-4,0,1
7,8,-3,5,13,6,-2,-1,-1,10,-13,9,9,1,-5,0,1
6,8,-3,5,13,5,-2,-1,-1,8,-12,9,11,0,-6,-1,1
6,5,-4,6,13,3,-1,-1,0,4,-11,10,11,-2,-6,-1,1
8,1,-5,8,12,-1,-1,0,-1,0,-9,11,11,-5,-4,-1,1
9,-5,-6,9,12,-4,-1,1,-3,-3,-8,12,9,-6,-3,-2,1
10,-10,-5,4,12,-8,-6,1,-11,-1,-12,16,0,-6,-2,0,1
10,-9,-4,5,14,-7,-4,0,-10,-1,-15,16,-1,-5,-4,1,1
10,-7,-3,5,15,-7,-3,0,-8,0,-18,16,-2,-3,-7,1,1
9,-4,-2,4,16,-7,-1,-1,-6,-1,-19,14,-3,-1,-8,0,1
7,-1,-2,2,17,-7,0,-3,-5,-1,-18,12,-2,-1,-8,-1,1
6,2,-3,-1,16,-7,0,-4,-4,-1,-16,8,-2,-3,-7,-2,1
7,3,-3,-3,16,-8,0,-6,-5,0,-13,3,-1,-5,-5,-3,1
7,2,-4,-5,15,-9,-1,-6,-6,2,-10,-2,-1,-7,-4,-4,1
12,-1,0,-7,7,5,-3,-6,14,-8,4,-9,14,-9,-4,-1,1
13,0,-1,-8,7,7,-3,-6,16,-7,2,-11,17,-9,-7,-3,1
14,1,-1,-9,6,8,-4,-6,18,-7,-1,-12,21,-9,-10,-4,1
15,1,-1,-9,5,8,-4,-4,17,-7,-3,-10,23,-11,-12,-4,1
34,11,0,-4,27,14,-1,0,22,8,0,-12,38,-12,5,-11,1
31,10,1,0,27,12,0,2,22,8,3,-9,35,-8,10,-12,1
30,8,1,4,26,11,2,3,22,5,6,-5,33,-5,13,-13,1
30,6,0,6,24,10,4,3,21,2,8,-2,32,-5,16,-14,1
30,4,-1,7,22,10,5,3,19,-4,10,1,31,-7,16,-14,1
29,3,-2,7,21,9,5,3,16,-9,11,4,30,-11,15,-13,1
-22,-8,-7,-24,-8,-24,-19,-11,28,4,-21,-22,-3,7,-17,2,1
-25,-7,-7,-25,-8,-25,-20,-11,28,2,-20,-20,-1,5,-17,2,1
-14,11,-1,-12,-3,-9,-4,0,11,4,-3,-1,3,2,-2,8,1
-11,10,0,-11,-4,-8,-1,1,9,2,-1,-2,3,1,-1,7,1
-10,8,0,-8,-6,-8,2,2,9,-1,1,-2,2,0,0,5,1
-18,0,-2,-18,-12,-16,-7,-2,5,7,4,-18,-1,4,-6,1,1
-17,3,-2,-20,-12,-16,-6,-2,5,7,6,-19,0,5,-5,-1,1
-18,4,-2,-20,-12,-17,-5,-2,5,7,7,-19,1,6,-3,-4,1
-19,5,-1,-20,-12,-18,-4,-1,6,7,8,-19,0,8,-1,-5,1
-11,-3,3,-10,-6,-7,-6,-1,-9,12,7,-9,-4,6,-4,2,1
-11,-2,3,-11,-8,-6,-6,-1,-7,13,6,-12,-3,6,-4,0,1
-11,-2,2,-11,-9,-6,-6,-1,-4,13,5,-15,-1,7,-5,-2,1
-10,-3,2,-10,-10,-5,-5,-1,-2,13,3,-16,1,7,-6,-3,1
-9,-3,2,-8,-9,-6,-4,0,1,13,2,-15,4,7,-6,-4,1
-8,-5,0,-6,-7,-8,-3,0,4,11,-1,-13,5,6,-5,-5,1
-6,0,7,-8,3,-4,-2,-4,-7,2,4,-1,5,-3,-2,-3,1
-7,4,7,-8,5,-4,-1,-5,-6,1,4,-3,8,-6,-4,-2,1
-15,14,4,0,3,-2,5,-4,-3,2,4,-3,4,-3,-1,1,1
-16,13,4,3,2,-1,6,-4,-4,4,4,-2,1,-1,0,2,1
0,6,1,0,9,-8,6,-1,2,5,5,-9,9,-5,-2,1,1
5,8,2,-5,11,-5,5,-2,3,7,6,-8,12,-4,-2,1,1
10,9,3,-9,14,-2,5,-4,5,8,7,-7,15,-3,-1,2,1
14,9,5,-12,15,1,5,-6,7,8,8,-4,18,-2,1,2,1
15,9,7,-13,17,1,6,-6,9,6,11,-1,21,-1,2,4,1
14,9,10,-12,18,0,8,-6,11,3,14,2,23,-1,4,5,1
11,8,12,-10,18,-2,11,-5,12,1,17,3,25,-2,5,5,1
7,6,13,-6,16,-5,13,-3,13,0,19,4,28,-3,6,5,1
-9,4,5,0,1,-2,4,-3,9,10,9,6,13,10,8,4,1
-9,5,6,-1,1,-2,4,-3,9,6,8,4,10,7,6,4,1
-9,5,7,-3,1,-2,4,-3,9,3,7,1,7,7,4,3,1
-8,5,7,-5,-1,-2,5,-3,9,2,6,-3,5,6,0,3,1
-7,4,8,-7,-3,-3,6,-3,9,2,5,-7,3,6,-3,3,1
-4,0,8,-8,-5,-3,6,-3,9,4,3,-10,2,7,-5,2,1
2,-5,7,-10,-6,-3,6,-3,10,7,2,-12,3,7,-6,2,1
25,-1,-2,5,9,15,2,1,13,16,10,7,22,14,11,0,1
23,-1,-3,7,11,12,1,2,14,18,11,11,24,17,12,0,1
23,-2,-3,9,13,9,1,4,16,18,10,14,25,19,13,1,1
24,-2,-4,11,16,8,1,6,17,17,9,18,27,18,13,2,1
27,-1,-3,13,19,7,2,7,19,16,7,20,29,16,12,4,1
30,0,-2,14,23,8,4,8,21,14,6,22,31,15,11,5,1
34,3,-1,14,27,9,5,8,24,13,5,22,34,15,11,5,1
37,6,1,11,31,11,6,8,27,13,5,22,37,16,10,5,1
40,9,2,9,34,13,7,6,31,15,6,20,41,16,10,6,1
42,11,3,6,37,14,7,5,35,16,7,18,46,15,9,6,1
45,13,4,5,40,15,7,4,38,17,7,17,51,13,7,8,1
47,13,4,5,43,15,8,3,42,16,7,16,54,11,5,10,1
49,13,5,6,47,14,8,3,46,15,6,15,56,11,4,11,1
50,12,5,9,50,13,8,4,50,14,4,16,57,11,3,12,1
51,10,6,12,53,11,8,5,53,13,3,16,58,12,2,12,1
53,10,6,14,57,12,9,6,54,13,3,17,60,12,2,12,1
55,11,6,16,60,13,9,6,54,13,4,17,62,12,3,12,1
58,13,6,17,64,15,10,6,54,15,6,16,64,14,2,11,1
60,17,5,16,67,17,9,5,53,17,9,15,65,18,2,10,1
62,21,4,14,70,19,8,4,53,18,13,13,66,22,2,8,1
63,26,3,12,72,21,7,4,53,20,15,13,67,26,2,6,1
64,29,2,9,73,23,5,3,52,22,16,13,69,26,4,4,1
64,31,2,8,73,25,5,3,52,23,16,14,71,24,6,2,1
64,32,3,8,74,26,5,2,52,23,15,16,73,21,10,1,1
64,33,4,9,76,26,6,2,52,22,14,17,73,19,14,-1,1
64,34,4,10,77,26,7,2,53,21,13,19,73,18,17,-1,1
65,34,3,11,78,25,7,2,54,20,14,19,71,19,18,0,1
67,32,2,11,78,24,7,3,56,20,14,19,69,22,17,1,1
71,29,1,11,78,24,7,3,57,21,14,17,66,25,16,2,1
74,24,1,10,78,23,7,3,57,24,14,13,64,27,14,3,1
77,20,2,10,77,23,7,3,56,27,14,10,64,27,11,4,1
78,16,4,10,76,22,7,3,55,28,14,7,65,26,9,5,1
77,14,5,10,75,22,7,3,53,27,13,7,66,23,7,6,1
73,14,5,10,72,21,6,4,52,25,13,8,66,20,5,8,1
69,15,5,11,70,20,5,5,52,23,12,10,65,18,5,10,1
64,16,3,11,67,18,4,5,51,21,11,14,64,16,5,12,1
60,17,0,11,64,15,3,6,50,19,8,18,62,15,5,13,1
55,17,-2,12,60,12,3,7,49,18,5,22,60,13,7,14,1
51,16,-5,13,57,9,2,7,47,18,2,26,58,12,8,14,1
48,14,-6,15,55,7,2,7,45,17,-1,28,56,11,8,14,1
46,11,-6,16,53,6,2,6,43,17,-2,29,53,11,8,14,1
46,9,-6,15,52,6,3,4,41,18,-2,27,50,14,8,12,1
46,7,-5,14,52,5,3,2,41,19,0,24,49,18,8,9,1
46,7,-4,11,51,5,4,0,40,21,2,19,48,22,7,5,1
45,6,-4,9,50,5,4,-2,39,22,4,15,47,25,7,1,1
43,6,-3,8,48,5,5,-3,39,23,6,12,46,27,8,-2,1
40,5,-1,8,44,5,7,-3,38,23,7,10,44,28,9,-3,1
36,4,1,9,40,4,9,-3,37,23,7,8,42,26,10,-2,1
32,3,3,10,37,3,11,-3,36,23,8,7,41,23,11,-2,1
28,3,5,11,35,2,12,-2,35,23,8,6,41,20,13,-2,1
26,4,5,10,34,2,12,-2,36,22,9,5,42,17,14,-2,1
24,6,5,9,32,3,11,-1,37,20,10,5,43,17,15,-3,1
23,7,5,8,30,5,9,0,39,18,11,6,42,18,16,-3,1
24,8,5,6,30,6,6,0,41,15,12,6,42,19,15,-2,1
24,8,5,5,29,7,4,1,42,13,14,6,42,20,14,-2,1
24,6,5,5,30,7,3,0,41,11,16,6,42,21,13,-1,1
25,4,5,6,31,7,2,0,40,10,17,6,42,21,11,-1,1
24,3,5,7,31,6,1,1,38,10,18,6,42,19,10,0,1
22,2,5,8,30,5,1,1,35,8,17,6,40,17,9,1,1
19,2,6,9,29,4,2,2,32,8,16,7,37,15,9,1,1
17,2,6,10,27,3,2,2,30,7,13,7,35,13,8,1,1
23,-1,10,2,24,3,6,1,37,6,6,0,40,8,-2,2,1
22,0,9,1,24,2,5,1,36,5,6,-1,40,5,-1,2,1
